#61	#74
SoilW	SoilW
18.09778533	6.300274334
17.99400052	6.45511075
17.86469314	6.041028246
17.69101415	5.526376753
17.49545269	4.970900224
17.29692057	4.411725259
17.01465306	3.941028246
16.94772222	3.449278602
16.81704167	2.993517578
16.74169444	2.578012599
16.56611111	2.334200366
16.36479167	2.004186141
16.24084722	1.785267222
16.35459722	1.966632798
17.20230556	2.16193863
18.22163889	6.055252997
18.32061111	11.45240805
18.355375	11.39109937
18.40801389	10.91528145
18.40375	10.23405812
18.39069444	9.838610039
18.36829167	9.509591546
18.33423611	9.050701077
18.28872727	8.783133509
18.26073611	8.575594391
18.23997222	8.355821987
18.19390278	8.078439342
18.12318056	7.783844747
18.05986111	7.471611461
18.02627778	7.227941475
17.98427778	7.429221703
17.96320833	10.3522658
17.94831944	11.72196708
17.91873611	11.44572241
17.85144444	11.70973379
17.77356944	11.91428571
17.70588889	11.6663483
17.665375	11.95653322
17.61311111	12.0891079
17.56725	11.8750254
17.52979167	11.51983337
17.89472222	11.43704532
18.89706944	11.76108515
19.0955	11.64045926
19.18830556	11.42794148
19.21426389	11.31385897
19.24697222	11.21001829
19.30802778	11.14614916
19.37172222	11.21926438
19.44184615	11.15425726
19.49663889	10.79693152
19.53893056	10.4435887
19.579875	10.22822597
19.61920833	10.05112782
19.66894444	9.990957123
19.69229167	9.910445031
19.70386111	9.752123552
19.71144444	9.635765088
19.70369444	12.27886608
19.68958333	12.8181264
19.92944444	12.55041658
20.52190278	12.26108515
20.895375	12.52267832
21.394875	13.03434261
21.541875	12.76293436
21.60151389	12.72481203
21.62172222	12.53861004
21.62091667	12.42267832
21.64177778	12.35809795
21.66679167	12.45511075
21.667125	12.45283479
21.66677778	12.47701687
21.65722222	12.73092867
21.80234722	12.60546637
22.14920833	12.37303394
22.40330556	12.21841089
22.67784722	12.14572241
23.05018056	13.58711644
24.49247222	13.6893924
24.42456944	14.27474091
24.25452778	13.83775655
24.12415278	13.54401544
24.03583333	13.32239382
23.93776389	13.07317618
23.81723611	13.01855314
23.71066667	12.99053038
23.59127778	12.98811217
24.16752778	13.06720179
25.05019444	12.8549685
26.65313889	13.10162569
26.45775	13.62125584
25.399125	14.02395855
24.479	13.81926438
24.48791667	15.04742938
24.64959722	14.58091445
24.93077778	14.34765698
25.73040278	14.11439951
27.79095833	13.76451331
26.74704167	13.53125584
26.08330556	13.18136964
25.04141667	12.82737249
24.82083333	12.77132697
28.70394444	12.57317618
26.83577778	12.48839667
26.88941667	14.4148547
26.77970833	14.90532412
26.63780556	14.75695997
26.42727778	14.0780126
26.05048611	13.89664702
25.24579167	13.9777281
24.46156944	14.01172526
24.06430556	13.98555172
23.88234722	14.26435684
23.77465278	14.7465759
23.73129167	14.42424304
23.97126389	14.20845357
24.85093056	13.55511075
24.54370833	12.85880919
24.2445	14.79038813
24.06461111	14.90760008
23.96336111	14.46307661
23.87004167	15.02452754
23.76854167	14.66193863
23.65077778	14.47886608
23.51743056	14.26264987
23.29597222	14.05255029
22.95831944	13.6235318
22.87459722	13.52196708
22.82494444	13.5438732
22.73361111	13.30134119
22.63436111	13.4866897
22.61009722	13.33647633
22.635125	14.2064621
22.60545833	14.59451331
22.28498611	13.99963422
22.16441667	13.57687462
22.16904167	13.65866694
22.21756944	13.6522658
22.27730556	13.5435887
22.26956944	13.38555172
22.34165278	13.22495428
22.80881944	13.03704532
22.86666667	12.73149766
22.95034722	12.555253
22.91422378	12.5809998
22.51866667	12.63946352
22.34101389	12.61798415
22.74522222	12.53832554
23.40475	13.67488315
24.16123611	14.8923796
25.50254167	13.75340378
26.16473611	12.71200975
26.295125	12.57986182
26.20680556	12.52751473
25.93243056	12.59664702
25.31725	12.74984759
24.93195833	12.66037391
24.7725	12.85667547
24.90243056	14.06577931
24.96494444	14.53875229
24.60370833	14.44486893
24.469375	13.88114204
24.41948611	13.81428571
24.14929167	14.39394432
23.93713889	15.10546637
23.90493056	14.8208291
24.79354167	14.85084332
25.62915278	15.13348913
25.515625	15.26023166
25.28520833	14.76620606
24.85088889	14.54273522
24.55572222	14.46791303
24.343375	14.24671815
24.63025	13.99792725
25.91747222	13.89408657
26.35892754	14.86037391
26.1915	14.23761431
25.56883333	13.88043081
25.34629167	14.24117049
25.15543056	13.9178419
24.98768056	13.50560862
24.87025	13.56990449
24.80716667	13.98697419
24.94691667	14.73363138
25.60075	14.97644788
25.33595833	14.6579557
25.15443056	14.30930705
24.96319444	13.75695997
24.80391667	13.55013209
24.67997222	13.61115627
24.57881944	13.95994717
24.48568056	14.10873806
24.39422222	14.70845357
24.841125	15.42097135
25.49616667	14.88427149
25.62530556	14.81997561
25.69306944	14.50930705
25.56934722	14.26862426
25.20594444	14.14728714
25.33745833	14.10503963
25.46945833	14.26521032
25.98016667	15.18270677
