#15	#51	#53	#60
SoilW	SoilW	SoilW	SoilW
33.109375	15.19388889	22.58967366	19.27819444
33.24222222	15.42498264	22.68930556	19.15881944
33.3175	15.58110915	22.48981982	18.70300926
33.31782407	15.64111111	21.9818548	18.41990741
33.28229167	15.68654514	21.77760328	18.15546296
33.06113426	15.75190972	21.69525187	18.04884259
32.50912037	15.82052083	21.61674448	17.94719907
31.59381944	15.86270833	21.54531723	17.85472222
30.93571759	15.91013889	21.69610256	17.80456019
30.54409722	15.95673611	21.65032407	17.69710648
30.53717593	15.99848958	21.64803241	18.10886574
31.18328704	16.07814236	21.90907407	19.09206019
30.90847222	16.19192708	22.17898148	19.45458333
31.8399537	16.3378125	22.46491726	19.13805556
32.83215278	16.52722222	22.42414352	18.81162037
32.85576389	16.79456597	22.38722222	18.9150463
32.97011574	17.58635417	22.77847222	19.45231481
33.18050926	17.8125	22.37296296	18.77895833
33.24527778	17.72449653	22.14173611	18.46365741
33.28775463	17.64956597	22.00168981	18.3119213
33.3318287	17.59329861	21.884375	18.1224537
33.2637037	17.51831597	21.75115741	17.82692308
33.25009259	17.43920139	21.65898148	17.68930556
33.03983796	17.35519097	21.56916667	17.54428241
32.8505787	17.27815972	21.49861111	17.52076389
33.15354167	17.39307292	22.06662037	19.06270833
33.32949074	17.82319444	22.79261574	19.81159722
33.43196759	18.45604167	23.0049537	19.87386574
33.55775463	18.11206597	22.37393519	18.91166667
33.62037037	17.88552083	22.13784722	18.54303241
33.69398148	17.74229167	22.01305361	18.48134259
33.78481481	17.71748264	21.98456019	18.58275463
33.79951389	17.69414557	22.45825175	19.15726852
33.90930556	17.88774038	22.74877315	19.40865741
33.92712963	18.06362847	23.25122685	20.05810185
33.96740741	18.22109375	22.83270833	19.41002315
33.96467593	18.0068007	22.36145833	18.80268519
33.99295833	17.81328671	22.12097222	18.31886574
33.99295833	17.64895833	21.881875	17.86405093
33.88612395	17.60633681	22.59766204	19.53173611
34.62776	18.36295139	22.97645833	19.80324074
34.72149149	18.05956597	22.50490741	19.01006944
35.35685508	17.98717014	22.72944444	19.84865741
35.27885413	18.18967014	22.68615741	19.57462963
35.17796342	18.24217014	22.52634259	19.1975463
35.02828139	18.11078125	22.31326389	18.81074074
34.76038828	17.98149306	22.12428241	18.54055556
34.18826283	17.85394097	21.97175926	18.19576389
33.63069282	17.70045139	21.85402778	18.01606481
33.34824426	17.57626736	21.75891204	17.94571759
33.21887467	17.46458333	21.67356481	17.775
33.14230557	17.36720486	21.61291667	17.86118056
33.11147648	17.32767361	21.59280093	17.77655093
33.28209306	17.34130208	22.15474537	19.4737963
33.90752261	17.61868056	22.65775463	19.32555556
33.68909231	17.68107639	22.32789352	18.62361111
33.47635976	17.59550347	22.07006944	18.2550463
33.34846151	17.50418403	21.91837963	18.12337963
33.27647431	17.43744792	21.81589744	18.04618391
33.21012561	17.37512153	21.7230787	17.96203704
33.13796066	17.29508681	21.61037037	17.84388889
33.05423233	17.20828125	21.53162037	17.7256713
32.9594245	17.11737847	21.44474537	17.58384259
32.80197101	17.00769097	21.36761574	17.39532407
36.40344444	16.87744792	21.29354167	17.27194444
36.81037634	16.81180556	21.21576389	17.25523148
36.30310484	16.77046875	21.18518519	17.23997685
35.79583333	16.71862847	21.14337963	17.20217593
35.17452381	16.65378788	21.10912037	17.19386946
34.63710027	16.58538462	21.07379953	17.26564815
34.62479167	16.55619792	21.10784722	17.84655093
32.52666667	16.52828125	21.24372685	17.81865741
32.29875706	16.37473958	21.18284722	17.44351852
32.26555556	16.24651042	21.11118056	17.20020833
32.12949275	16.16555556	21.04925926	17.04953704
32.35206897	16.09972222	21.000625	17.02726852
32.26044444	16.05729167	20.9662963	17.04810185
32.70932058	16.03159722	20.93553241	17.02680556
33.15819672	15.96015625	21.27025463	17.02108796
33.5120073	15.99265625	22.25451389	17.25430556
33.75900344	16.15355903	22.08608796	17.48833333
33.16170264	16.31993056	21.99233796	17.5855787
32.20847418	16.38886364	21.9107173	17.45460648
31.1200463	16.34853896	21.71625	17.23601852
31.16522782	16.30821429	21.58460094	17.21782407
33.23032581	17.90283217	22.53490741	20.54363426
33.93819444	18.09498264	22.63564815	19.37335648
33.9812963	18.0525	22.45127315	19.37490741
34.194375	18.31179078	22.51858796	19.73967593
34.34435523	18.36826923	22.86659674	19.75230769
34.45858796	18.07954861	22.55166667	19.08796296
34.5029602	17.94342014	22.31849537	18.79018519
34.47847418	17.88668403	22.195	18.61678241
34.42847222	17.85998264	22.08409722	18.44349537
34.43331019	17.82291667	21.95965278	18.23020833
34.39	17.79746528	21.86314815	18.12678241
34.43969907	17.76494792	21.9919213	18.85361111
34.49960648	17.81541667	22.12016204	18.79981481
34.51152778	17.75439236	21.97761574	18.36636574
34.60583333	17.66621528	21.88622685	18.34583333
34.64203704	17.61183099	21.83303241	18.16900463
34.59120567	17.51444444	21.72706019	17.94699074
34.60002315	17.39151042	21.6362963	17.7944213
34.62097902	17.28105903	21.59300926	17.93893519
34.61939815	17.59293706	21.74918981	18.543125
34.65763889	18.38947619	22.0831713	19.25224537
34.6718287	18.17713542	22.09157407	18.88108796
34.67101852	18.05159722	22.018125	18.56893519
34.66444444	17.93463542	21.90243056	18.20310185
34.66488426	17.82230903	21.7837037	17.97233796
34.67377315	17.70215278	21.70287037	17.88564815
34.76548611	17.60059028	21.68081019	18.03337963
34.86030093	17.87536458	21.71354167	18.12668981
34.89310945	18.82303819	21.79323671	18.56297101
35.09164352	19.22277778	22.55805556	19.85006944
35.20141204	18.7271875	22.50099537	19.10155093
35.25375	18.55914931	22.31199074	18.85425926
35.31539352	18.5021875	22.17747685	18.66587963
35.33287037	18.36302083	22.04481481	18.44766204
35.37821759	18.26703125	21.94965278	18.3099537
35.48212963	18.23104167	21.88858796	18.24597222
35.58655093	18.30677083	21.86363426	18.35972222
35.67835648	18.70611111	22.3399537	19.39462963
35.78659722	18.50824653	22.35363426	19.10097222
35.88256944	18.36142361	22.2793287	18.90166667
36.21586806	18.2470471	22.15398601	18.66025463
36.38939815	18.12239583	22.02039352	18.40655093
35.55351852	18.03977431	21.92710648	18.2743287
35.59722222	17.97944444	21.85020833	18.16604167
35.5787963	17.91447917	21.76944444	18.03201389
35.56122685	17.85241319	21.71587963	17.93689815
35.59685185	17.91255208	21.84986111	18.49789352
35.61606481	18.40895833	22.41738426	19.48712963
35.66780093	18.57227431	22.58108796	19.46275463
35.70983796	18.60779514	22.68148148	19.581875
35.71636574	18.70387153	22.79106481	19.51020833
35.73819444	18.50390625	22.54828704	19.10328704
35.7575	18.42190972	22.52296296	19.34111111
35.77921296	18.56963542	22.73171296	19.54708333
35.78939815	18.93199301	23.08974537	20.35725352
35.76930556	18.83286458	22.94766204	19.69356481
35.76074074	18.52548611	22.56606481	19.2112963
35.7575463	18.4809375	22.49826389	19.42585648
35.71594907	18.51427083	22.51886574	19.38946759
35.70331019	18.38005245	22.36421296	19.03717593
35.89094907	18.70994792	22.76447552	19.4862963
35.89615741	18.58230903	22.56423611	19.30828704
35.92881944	18.48522569	22.43493056	19.146875
36.02349537	18.39302083	22.34358796	19.05321759
36.11481221	18.32835069	22.2818287	18.99793981
36.20511574	18.28255208	22.24319444	18.91173611
36.29740741	18.24446181	22.19490741	18.83780093
36.40916667	18.20484375	22.16418981	18.80939815
36.40706019	18.14001736	22.10712963	18.6087037
36.36849537	18.09404514	22.05821759	18.63428241
36.28526807	18.22282986	22.50356481	19.59997685
36.08184149	18.25589789	22.56074592	19.56048611
36.15916667	18.48472222	23.03354167	20.26229167
36.29962963	18.98946181	23.20837963	20.09381944
36.28041667	19.10052083	23.31976852	20.29611111
36.25391204	19.23967014	23.42407407	20.2675
36.26678241	18.86291667	22.88868056	19.65877315
36.28263889	18.71081597	22.75275463	19.58675926
36.300625	18.57550347	22.5844213	19.35462963
36.30666667	18.43902778	22.39863426	19.07412037
36.30143519	18.32390625	22.25046296	18.86652778
36.31826389	18.21177083	22.10428241	18.74612676
36.36740741	18.2678125	22.33134259	19.68738426
36.41729167	18.57166667	22.92506944	19.96405093
36.49738426	18.74741319	22.96458333	19.99949074
36.51384259	19.196875	23.41256944	20.26895833
36.46877315	18.83697917	22.86358796	19.53581019
